id,created_at,user_id,transaction_type,amount
78,2015-01-27,13,charge,173.2
79,2015-02-24,7,earning,76.86
80,2015-03-15,20,charge,175.23
81,2015-02-28,7,charge,52.31
82,2015-02-21,1,earning,36.13
83,2015-02-25,4,earning,146.3
84,2015-02-09,19,charge,149.9
85,2015-02-27,2,charge,84.49
86,2015-01-30,20,earning,156.78
87,2015-03-14,14,earning,15.01
88,2015-02-07,6,charge,32.75
89,2015-02-09,5,charge,54.31
90,2015-01-31,5,charge,34.52
91,2015-01-29,13,charge,63.19
92,2015-03-02,20,earning,164.62
93,2015-02-28,14,earning,163.91
94,2015-02-20,6,charge,89.63
95,2015-02-16,11,charge,39.59
96,2015-02-13,20,charge,94.11
97,2015-02-28,12,earning,33.05
98,2015-02-15,11,earning,30.85
99,2015-02-28,10,earning,179.57
100,2015-01-28,14,charge,37.48
101,2015-02-18,8,earning,97.62
102,2015-02-24,5,earning,62.42
103,2015-02-04,9,earning,62.01
104,2015-02-03,20,earning,134.26
105,2015-01-24,12,earning,18.85
106,2015-02-11,15,charge,192.11
107,2015-03-07,11,earning,51.29
108,2015-02-04,8,earning,82.02
109,2015-02-26,13,charge,176.26
110,2015-01-30,8,earning,176.5
111,2015-02-18,4,earning,62.56
112,2015-02-24,1,earning,138.03
113,2015-01-23,15,charge,129.55
114,2015-03-09,5,charge,155.89
115,2015-02-21,17,earning,114.73
116,2015-01-28,18,charge,73.55
117,2015-03-04,9,earning,146.38
118,2015-01-23,20,charge,155.69
119,2015-03-02,18,charge,167.36
120,2015-02-07,4,earning,122.12
121,2015-02-19,3,earning,120.77
122,2015-03-03,1,earning,130.01
123,2015-02-20,17,charge,114.09
124,2015-01-24,9,charge,143.35
125,2015-02-18,5,charge,196.46
126,2015-03-02,15,charge,161.77
127,2015-01-31,17,earning,23.64
128,2015-01-27,7,charge,126.41
129,2015-02-03,11,charge,11.4
130,2015-02-15,12,charge,71.73
131,2015-02-10,18,earning,5.72
132,2015-02-07,18,charge,57.07
133,2015-02-13,4,earning,105.67
134,2015-01-23,1,earning,128.45
135,2015-02-10,12,earning,33.61
136,2015-03-11,11,charge,33.59
137,2015-03-10,7,earning,28.9
138,2015-02-02,15,charge,48.53
139,2015-02-04,18,charge,120.51
140,2015-02-02,13,earning,5.65
141,2015-02-27,3,earning,94.16
142,2015-01-29,4,charge,122.35
143,2015-03-03,20,earning,155.6
144,2015-02-17,11,charge,76.97
145,2015-01-25,6,charge,13.62
146,2015-02-10,4,earning,115.98
147,2015-03-09,15,charge,196.96
148,2015-02-10,12,earning,146.35
149,2015-02-17,6,earning,51.02
150,2015-02-25,10,charge,62.25
151,2015-01-28,4,earning,17.78
152,2015-03-09,14,charge,168.65
153,2015-02-15,4,charge,167.1
154,2015-01-30,11,earning,71.67
155,2015-01-25,20,charge,130.11
156,2015-02-25,12,charge,8.0
157,2015-02-28,10,earning,182.96
158,2015-02-02,3,earning,102.24
159,2015-01-30,10,earning,165.53
160,2015-03-13,14,earning,148.74
161,2015-03-13,20,earning,195.52
162,2015-01-30,13,earning,142.32
163,2015-02-03,1,earning,159.84
164,2015-01-26,18,earning,63.3
165,2015-03-02,10,charge,176.2
166,2015-02-15,20,charge,135.09
167,2015-03-06,15,earning,183.59
168,2015-02-25,18,charge,140.99
169,2015-03-12,6,charge,91.17
170,2015-03-15,8,charge,72.6
171,2015-02-21,10,charge,37.74
172,2015-02-16,20,earning,6.19
173,2015-02-12,13,charge,159.02
174,2015-01-24,1,charge,8.98
175,2015-02-18,14,earning,33.4
176,2015-02-08,11,earning,194.99
177,2015-03-15,4,earning,149.74
178,2015-02-01,15,earning,123.4
179,2015-02-20,10,charge,97.87
180,2015-03-09,4,earning,23.56
181,2015-02-26,4,earning,81.33
182,2015-02-16,1,charge,199.1
183,2015-03-16,15,charge,80.57
184,2015-03-08,8,earning,193.62
185,2015-03-15,17,charge,30.32
186,2015-03-09,5,charge,156.74
187,2015-02-14,18,charge,105.49
188,2015-02-22,1,earning,56.69
189,2015-02-09,4,charge,54.94
190,2015-03-07,3,charge,50.77
191,2015-01-29,13,earning,5.6
192,2015-02-26,3,earning,179.33
193,2015-02-01,14,charge,179.72
194,2015-02-01,1,charge,82.91
195,2015-02-14,5,earning,68.82
196,2015-03-16,13,earning,44.09
197,2015-02-28,3,earning,12.19
198,2015-01-25,16,earning,10.06
199,2015-02-23,7,charge,192.54
200,2015-03-05,16,charge,35.36
